Metagenome	MEBS_SS	Comp_mean	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	29
100	4442467.3	3.098	78.7	66.7	60.0	100.0	64.7	55.0	45.0	77.8	100.0	100.0	65.0	44.8	100.0	100.0	100.0	71.4	56.2	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	58.3	
100	4445106.3	-0.565999999999999	69.4	55.6	50.0	100.0	41.2	35.0	40.0	55.6	100.0	100.0	45.0	27.6	100.0	100.0	100.0	64.3	43.8	83.3	85.7	85.7	14.3	0.0	71.4	72.7	100.0	100.0	100.0	100.0	100.0	41.7	
100	4445130.3	5.913	74.4	77.8	50.0	100.0	76.5	65.0	60.0	77.8	100.0	100.0	60.0	44.8	0.0	100.0	100.0	64.3	56.2	83.3	85.7	85.7	57.1	0.0	57.1	81.8	100.0	100.0	100.0	100.0	100.0	75.0	
100	4445755.3	-0.697	15.9	11.1	0.0	0.0	5.9	10.0	5.0	0.0	0.0	20.0	25.0	6.9	0.0	33.3	50.0	7.1	12.5	33.3	28.6	28.6	0.0	0.0	14.3	18.2	0.0	0.0	0.0	100.0	50.0	0.0	
100	4445756.3	-0.891	31.3	44.4	0.0	100.0	5.9	10.0	5.0	0.0	100.0	60.0	30.0	13.8	0.0	33.3	50.0	35.7	12.5	50.0	57.1	42.9	0.0	0.0	28.6	45.5	0.0	0.0	0.0	100.0	75.0	8.3	
100	4445990.3	7.243	83.2	100.0	70.0	100.0	76.5	65.0	60.0	77.8	100.0	100.0	70.0	58.6	100.0	100.0	100.0	71.4	68.8	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	83.3	
100	4445993.3	5.168	81.9	88.9	70.0	100.0	70.6	60.0	55.0	77.8	100.0	100.0	70.0	58.6	100.0	100.0	100.0	71.4	68.8	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	75.0	
100	4445994.3	5.611	82.5	88.9	70.0	100.0	76.5	55.0	60.0	77.8	100.0	100.0	70.0	62.1	100.0	100.0	100.0	71.4	75.0	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	75.0	
100	4445996.3	5.653	81.7	88.9	70.0	100.0	76.5	60.0	60.0	77.8	100.0	100.0	70.0	51.7	100.0	100.0	100.0	71.4	75.0	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	66.7	
100	4446153.3	8.674	84.8	100.0	80.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	58.6	100.0	100.0	100.0	71.4	87.5	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	
100	4446341.3	6.869	81.5	77.8	60.0	100.0	76.5	70.0	60.0	77.8	100.0	100.0	65.0	55.2	100.0	100.0	100.0	71.4	50.0	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	83.3	
100	4446342.3	8.376	82.0	88.9	50.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	60.0	55.2	100.0	100.0	100.0	71.4	62.5	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	
100	4446406.3	4.838	81.2	100.0	60.0	100.0	64.7	65.0	45.0	77.8	100.0	100.0	60.0	69.0	100.0	100.0	100.0	71.4	56.2	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	75.0	
100	4446411.3	0.541	64.9	66.7	50.0	50.0	35.3	40.0	30.0	55.6	100.0	100.0	55.0	37.9	0.0	100.0	100.0	57.1	43.8	83.3	85.7	85.7	42.9	0.0	57.1	81.8	100.0	100.0	100.0	100.0	100.0	25.0	
100	4446412.3	1.355	70.5	55.6	40.0	100.0	58.8	55.0	40.0	66.7	100.0	100.0	50.0	41.4	0.0	100.0	100.0	64.3	43.8	91.7	100.0	85.7	57.1	0.0	71.4	81.8	100.0	100.0	100.0	100.0	100.0	41.7	
100	4448052.3	7.059	82.9	88.9	70.0	100.0	76.5	70.0	60.0	77.8	100.0	100.0	70.0	51.7	100.0	100.0	100.0	71.4	68.8	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	83.3	
100	4449103.3	8.681	84.7	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	65.0	62.1	100.0	100.0	100.0	71.4	75.0	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	
100	4449104.3	5.648	82.2	100.0	70.0	100.0	70.6	70.0	50.0	77.8	100.0	100.0	70.0	69.0	100.0	100.0	100.0	71.4	50.0	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	75.0	
100	4449249.3	4.599	80.8	88.9	70.0	100.0	70.6	55.0	55.0	77.8	100.0	100.0	70.0	48.3	100.0	100.0	100.0	71.4	68.8	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	66.7	
100	4449252.3	3.418	79.5	88.9	50.0	100.0	64.7	60.0	50.0	77.8	100.0	100.0	70.0	51.7	100.0	100.0	100.0	71.4	75.0	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	58.3	
