	GenF	MEBS_SS	Comp_mean	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P28	P29
count	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0	935.0
mean	85.61497326203208	4.715906951871657	69.85401069518717	74.33604278074866	50.481283422459896	77.6470588235294	57.810374331550804	56.50802139037433	45.23529411764706	63.5098395721925	80.85561497326204	87.10160427807487	55.705882352941174	49.34780748663101	83.10160427807487	85.99155080213903	92.62032085561498	62.95860962566844	55.73176470588235	84.45978609625669	87.3924064171123	77.92481283422461	49.884491978609624	7.4866310160427805	67.47689839572195	72.8572192513369	91.33689839572193	91.33689839572193	91.33689839572193	88.55614973262033	66.9144385026738
std	70.54256988005902	3.164541684293724	21.716997715746825	31.01248169247697	24.1090363624382	34.749386163940024	25.070452535421413	22.114498859015757	19.486124072379088	24.560290487246245	39.3648109147328	24.93772431043537	18.6892232011378	21.474875340352263	37.49383029322783	26.89147439885072	23.34638649148033	17.934281892942884	25.06987764397273	24.658376965202933	25.027088024683334	19.219855686628467	23.862130883327037	26.33163522834073	27.99264971215166	18.30932786603153	23.81740130515458	23.81740130515458	23.81740130515458	23.96242602414386	32.952558772213784
min	30.0	-2.649	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25%	30.0	1.874	64.5	55.6	40.0	50.0	47.1	50.0	35.0	55.6	100.0	80.0	50.0	37.9	100.0	66.7	100.0	64.3	43.8	83.3	85.7	85.7	42.9	0.0	57.1	72.7	100.0	100.0	100.0	100.0	50.0
50%	30.0	5.653	80.3	88.9	60.0	100.0	70.6	65.0	55.0	77.8	100.0	100.0	65.0	55.2	100.0	100.0	100.0	71.4	56.2	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	75.0
75%	150.0	7.4559999999999995	83.4	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	69.0	100.0	100.0	100.0	71.4	75.0	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0
max	300.0	9.986	89.2	100.0	80.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	75.9	100.0	100.0	100.0	71.4	87.5	100.0	100.0	85.7	71.4	100.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0
