SS_2017	SS_2014
12.225	12.238
12.209	12.714
12.203	12.744
12.202	14.45
12.202	14.45
12.197	13.225
12.194	12.81
12.176	12.217
12.176	12.217
12.169	12.908
12.161	13.134
12.137	13.47
12.128	13.18
12.128	12.963
12.092	13.546
12.065	13.378
12.014	13.44
11.998	13.376
11.99	11.99
11.973	13.471
11.973	13.544
11.971	13.471
11.957	12.326
11.955	13.397
11.944	12.782
11.932	12.338
11.926	12.985
11.916	11.466
11.899	13.232
11.896	13.097
11.894	11.915
11.87	11.798
11.842	12.681
11.837	13.1
11.837	12.957
11.836	12.704
11.811	12.593
11.811	12.471
11.788	13.521
11.777	11.988
11.772	12.702
11.738	12.375
11.729	12.541
11.726	13.229
11.726	13.135
11.718	11.817
11.709	11.78
11.706	12.709
11.697	12.401
11.695	12.03
11.682	12.805
11.675	11.939
11.668	12.522
11.666	13.293
11.654	12.536
11.611	12.884
11.565	13.125
11.557	12.796
11.557	12.796
11.549	12.579
11.546	11.561
11.542	12.759
11.54	13.47
11.482	11.903
11.482	11.475
11.404	12.34
11.396	11.344
11.366	12.042
11.365	13.134
11.343	11.121
11.343	11.411
11.343	11.121
11.343	11.137
11.343	11.121
11.343	11.121
11.343	11.121
11.343	11.121
11.339	12.855
11.318	12.156
11.312	12.607
11.31	12.6
11.3	12.145
11.286	12.855
11.276	12.061
11.274	11.916
11.257	11.16
11.257	11.054
11.249	12.136
11.245	11.984
11.238	11.03
11.229	12.341
11.212	12.277
11.208	12.535
11.201	11.314
11.198	12.701
11.18	12.694
11.18	12.694
11.172	11.928
11.167	13.269
11.156	11.792
11.144	11.708
11.131	12.255
11.124	12.863
11.115	10.61
11.111	12.631
11.104	10.454
11.103	12.185
11.102	11.62
11.086	11.038
11.086	11.328
11.078	12.54
11.055	11.004
11.055	10.882
11.055	10.882
11.055	10.882
11.04	12.477
11.039	11.402
11.03	10.947
11.026	12.109
11.018	11.942
11.006	11.883
11.001	11.48
10.984	11.193
10.982	12.58
10.969	12.522
10.95	10.913
10.948	11.68
10.942	11.944
10.934	11.495
10.928	10.306
10.914	11.998
10.896	12.271
10.884	12.235
10.878	11.373
10.878	11.373
10.876	11.915
10.872	12.952
10.855	11.685
10.848	11.525
10.835	10.821
10.82	10.438
10.777	11.205
10.773	11.128
10.773	11.282
10.773	10.557
10.771	10.422
10.762	11.647
10.762	11.435
10.755	10.429
10.741	12.566
10.737	10.562
10.72	10.527
10.713	11.556
10.713	10.628
10.697	11.359
10.696	12.088
10.694	12.704
10.661	11.387
10.657	10.764
10.657	10.764
10.657	11.192
10.657	11.314
10.657	11.192
10.657	11.192
10.657	10.764
10.657	11.192
10.657	11.192
10.657	11.192
10.631	11.404
10.6	10.01
10.571	10.764
10.571	11.495
10.569	10.266
10.548	11.861
10.533	11.467
10.518	10.371
10.474	10.799
10.466	10.764
10.466	11.282
10.466	10.764
10.459	11.261
10.454	11.26
10.444	11.881
10.433	11.407
10.387	10.809
10.386	10.764
10.383	11.7
10.3	11.693
10.296	11.2
10.26	11.754
10.241	10.183
10.191	10.595
10.173	10.786
10.165	10.635
10.165	11.969
10.005	10.648
9.967	10.795
9.962	11.019
9.949	10.528
9.932	10.168
9.924	10.73
9.9	10.679
9.9	10.251
9.886	9.958
9.882	10.398
9.867	9.978
9.866	10.244
9.86	10.943
9.849	10.131
9.784	10.467
9.784	10.228
9.784	10.467
9.784	10.589
9.784	10.589
9.777	9.929
9.776	10.668
9.768	10.951
9.754	10.293
9.677	10.234
9.677	10.234
9.675	10.923
9.669	10.173
9.645	9.408
9.618	10.13
9.597	10.506
9.593	10.039
9.56	9.184
9.558	9.599
9.497	9.386
9.49	10.466
9.453	10.158
9.41	10.008
9.403	10.32
9.323	10.155
9.276	9.689
9.274	9.823
9.27	11.242
9.269	9.357
9.243	10.287
9.241	10.351
9.193	10.78
9.167	9.749
9.16	9.137
9.16	11.222
9.136	9.895
9.077	10.114
8.982	10.342
8.982	10.342
8.981	10.965
8.978	10.364
8.971	10.453
8.9	9.29
8.895	9.583
8.847	9.182
8.796	10.141
8.725	8.991
8.67	9.035
8.648	10.227
8.648	10.227
8.613	9.57
8.527	8.463
8.476	10.148
8.435	9.641
8.421	9.5
8.296	8.824
8.184	10.019
8.184	10.019
8.163	9.554
8.149	10.067
8.101	8.845
8.1	9.261
8	8.824
7.991	8.243
7.945	8.925
7.924	9.814
7.871	8.664
7.786	8.914
7.732	9.711
7.711	8.572
7.694	9.507
7.546	8.634
7.539	8.107
7.492	8.664
7.437	10.028
7.423	7.659
7.423	7.659
7.423	7.659
7.392	8.4
7.374	9.705
7.36	7.675
7.306	7.063
7.297	7.752
7.088	7.895
7.076	9.064
7.023	7.667
7.023	7.667
6.95	7.219
6.922	7.831
6.921	8.305
6.878	8.257
6.779	7.863
6.762	8.318
6.748	7.883
6.748	7.883
6.714	8.891
6.713	7.875
6.68	6.938
6.67	7.759
6.646	8.039
6.625	7.676
6.552	7.227
6.481	8.752
6.445	7.234
6.182	7.472
6.174	7.155
6.167	8.46
6.072	6.868
6.011	7.467
6.011	7.467
