	MEBS_SS	Comp_mean	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P28	P29
count	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0	2107.0
mean	1.7640075937351685	57.56046511627907	47.49966777408638	33.222591362126245	59.610821072615096	46.2406739439962	46.606549596582816	33.08258186995729	55.47940199335549	72.09302325581395	84.71760797342192	51.58044613194115	33.79349786426198	28.429046037019457	74.9453251067869	87.54152823920266	56.24750830564784	39.54760322733745	65.01191267204557	69.10398671096347	78.05049833887044	43.28922638822971	0.6644518272425249	53.40128144280968	67.04432842904603	85.33459895586141	85.33459895586141	85.33459895586141	94.13858566682487	34.26260085429521
std	2.8388748973410793	15.944957803823453	17.270460562958796	16.924201227939268	47.58099444049695	20.309905753605126	14.045050795894035	14.975504385575372	23.778466980651014	44.864837464997215	18.754005292294554	14.460660102121754	11.439250769914509	45.11828993436468	28.66801230403899	30.588289507968568	12.457770155039974	15.590208279727046	26.832883602891272	33.18250224340724	14.735844479518976	21.295278173298506	8.12619389845808	24.681926697071923	13.235829020495636	27.232590976084357	27.232590976084357	27.232590976084357	16.36277846169061	20.182484119085792
min	-3.588	5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3	0.0	0.0	0.0	0.0	0.0	18.2	0.0	0.0	0.0	0.0	0.0
25%	-0.2535	49.1	33.3	20.0	0.0	35.3	40.0	25.0	44.4	0.0	80.0	40.0	27.6	0.0	66.7	100.0	50.0	31.2	41.7	42.9	71.4	28.6	0.0	42.9	63.6	100.0	100.0	100.0	100.0	16.7
50%	1.1520000000000001	61.6	44.4	30.0	100.0	52.9	50.0	35.0	66.7	100.0	100.0	55.0	34.5	0.0	66.7	100.0	57.1	43.8	75.0	85.7	85.7	42.9	0.0	57.1	72.7	100.0	100.0	100.0	100.0	33.3
75%	2.9850000000000003	70.0	55.6	40.0	100.0	58.8	55.0	45.0	77.8	100.0	100.0	65.0	41.4	100.0	100.0	100.0	64.3	50.0	91.7	100.0	85.7	57.1	0.0	71.4	72.7	100.0	100.0	100.0	100.0	50.0
max	12.508	78.3	100.0	80.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	69.0	100.0	100.0	100.0	71.4	87.5	100.0	100.0	85.7	71.4	100.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0
