	mean	std	cv	id	range
PF00005	-0.00075	0.0007071067811865476	-0.9428090415820635	-0.0006666666666666669	0.002
PF00009	-0.002625	0.004596194077712558	-1.7509310772238316	-0.008047619047619045	0.012999999999999998
PF00034	-0.134875	0.037157723673166915	-0.27549748784553785	-0.010236859526016157	0.09400000000000001
PF00037	0.0895	0.0072702917999996975	0.08123231061452177	0.000590582601755786	0.021999999999999992
PF00106	0.02975	0.025538486363022493	0.8584365164041174	0.02192316926770709	0.076
PF00111	-0.019624999999999997	0.044274912277076924	-2.2560464854561495	-0.09988626023657872	0.155
PF00124	-0.01	0.0	-0.0	-0.0	0.0
PF00171	-0.11374999999999999	0.012936658875348873	-0.11372886923383627	-0.0014712715855572994	0.03899999999999999
PF00174	-0.011500000000000002	0.012739141034061686	-1.1077513942662334	-0.01411180124223602	0.036000000000000004
PF00175	-0.08275	0.0217173400107577	-0.2624451965046247	-0.005699611566681054	0.067
PF00202	0.11662499999999999	0.003739270364274674	0.032062339672237296	0.00011988975654570507	0.010999999999999996
PF00205	-0.033375	0.037534507932225326	-1.1246294511528188	-0.04221241305510969	0.124
PF00258	-0.09337500000000001	0.058443959727001976	-0.6259058605301415	-0.03658041690571811	0.201
PF00291	0.07375000000000001	0.023638648740689775	0.32052405072121726	0.007576755447941887	0.074
PF00296	-0.2835	0.021293862294768675	-0.07511062537837276	-0.0015993953136810267	0.06199999999999997
PF00355	-0.139875	0.008708575412447532	-0.062259699105969846	-0.0005421932848206306	0.024999999999999994
PF00378	-0.256375	0.007763237542601479	-0.03028079002477417	-0.0002350769659399592	0.023999999999999966
PF00384	0.28037500000000004	0.00921082437756173	0.032851803397456004	0.000302592191580153	0.02699999999999997
PF00389	0.045125	0.018961897885722605	0.4202082633955148	0.00796794618124258	0.063
PF00441	-0.263	0.01103241975789017	-0.041948364098441715	-0.000462791960890819	0.03199999999999997
PF00459	0.0125	0.03940993348310623	3.1527946786484984	0.1242514285714286	0.11200000000000002
PF00484	-0.26637500000000003	0.007595816517756908	-0.028515500770556198	-0.0002165985117651006	0.017000000000000015
PF00501	-0.049875	0.020420140617957137	-0.40942637830490497	-0.008360544217687074	0.048
PF00528	0.020750000000000005	0.04316993001086355	2.0804785547404117	0.08981411359724611	0.126
PF00534	0.08762500000000001	0.056045740248479185	0.6396090185275798	0.03584736091298145	0.16099999999999998
PF00556	0.054000000000000006	0.005042675027063655	0.09338287087154916	0.00047089947089947094	0.017
PF00557	0.012750000000000001	0.03485377618401935	2.7336295046289685	0.09527731092436975	0.099
PF00581	-0.19275000000000003	0.02711746932988296	-0.1406872598178104	-0.0038150824532147487	0.07700000000000001
PF00667	-0.101875	0.04434100810761975	-0.43524915933859876	-0.019299386503067485	0.121
