	mean	std	cv	id	range
PF00384	0.28037500000000004	0.00921082437756173	0.032851803397456004	0.000302592191580153	0.02699999999999997
PF01058	0.4485	0.011832159566199242	0.026381626680488834	0.0003121516164994431	0.040000000000000036
PF01568	0.40225	0.04912011516971142	0.12211340004900291	0.005998224274172066	0.13499999999999995
PF04358	0.52475	0.004949747468305838	0.00943258212159283	4.668889947594101e-05	0.014000000000000012
PF04879	0.37125	0.05219126911111255	0.14058254306023582	0.007337181337181335	0.14499999999999996
PF08770	0.351875	0.026658890235181008	0.07576238787973288	0.0020197411824410066	0.08200000000000007
PF09242	0.378	0.03828091654373718	0.10127226598872269	0.0038767951625094466	0.124
