	mean	std	cv	id	range
PF02635	0.37025	0.08314831842642914	0.2245734461213481	0.01867290440821838	0.283
PF09459	0.28074999999999994	0.10240919322572001	0.3647700560132503	0.037355807149217664	0.293
PF12800	0.316	0.08935003397553115	0.28275327207446566	0.025264014466546112	0.266
PF12838	0.15812500000000002	0.09092451735996654	0.5750167105768634	0.052283116883116876	0.264
PF13183	0.1545	0.07343218445808156	0.47528921979340816	0.03490152565880722	0.21500000000000002
PF13187	0.199	0.09886209731597992	0.49679445887427093	0.04911414213926775	0.28700000000000003
PF13501	0.49362500000000004	0.11874936090053585	0.2405659375042509	0.028567051333068045	0.29799999999999993
PF13531	0.166375	0.102359223884737	0.6152319993072096	0.06297466995814104	0.34800000000000003
