Specie 	Kigdom 	Phylum 	Class 	Order 	Family 	Genus 	S_guild	MEBS_S	MEBS_CH4	MEBS_N	MEBS_O	MEBS_Fe	ROC_Fe	ROC_CH4	ROC_O	ROC_N	ROC_S	CAT_N	CAT_O	CAT_M	Cat_Fe
Synechococcus sp. JA-2-3B'a(2-13)	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Synechococcus	0	NS	3.704	10.879	21.681	8.147	3.491	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Cyanothece sp. PCC 7424	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Cyanothece	0	NS	3.79	10.859	25.779	8.398	3.944	ND	ND	ND	ND	NS	ND	Our	ND	ND
Pelodictyon phaeoclathratiforme BU-1	 Bacteria	 Chlorobi	 Chlorobia	 Chlorobiales	 Chlorobiaceae	 Chlorobium/Pelodictyon group	GSB	11.836	10.811	15.707	6.66	6.241	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Selenomonas ruminantium subsp. lactilytica TAM6421	 Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Selenomonadaceae	 Selenomonas	NS	4.493	10.806	14.708	4.124	3.673	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pelosinus fermentans JBW45	 Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Veillonellaceae	 Pelosinus	NS	4.162	10.716	19.928	3.787	4.515	ND	ND	ND	ND	NS	ND	ND	ND	ND
Heliobacterium modesticaldum Ice1	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Heliobacteriaceae	 Heliobacterium	GSB	5.558	10.715	17.821	4.162	6.217	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Desulfovibrio desulfuricans ND132	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfovibrionales	 Desulfovibrionaceae	 Desulfovibrio	SRB	9.487	10.701	20.243	6.326	6.906	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Ectothiorhodospira sp. BSL-9	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales	 Ectothiorhodospiraceae	 Ectothiorhodospira	PSB	5.74	10.628	19.484	6.354	8.042	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Polynucleobacter duraquae	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Polynucleobacter	NS	0.959	10.623	20.855	6.963	3.567	ND	ND	ND	ND	NS	ND	ND	ND	ND
Chloroflexus aurantiacus J-10-fl	 Bacteria	 Chloroflexi	 Chloroflexia	 Chloroflexales	 Chloroflexineae	 Chloroflexaceae	GSB	6.179	10.622	23.559	7.234	3.149	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Dehalococcoides mccartyi CBDB1	 Bacteria	 Chloroflexi	 Dehalococcoidia	 Dehalococcoidales	 Dehalococcoidaceae	 Dehalococcoides	Sur	5.877	10.597	10.378	2.179	1.667	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Caldilinea aerophila DSM 14535 = NBRC 104270	 Bacteria	 Chloroflexi	 Caldilineae	 Caldilineales	 Caldilineaceae	 Caldilinea	Sur	6.159	10.567	24.503	5.154	6.744	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Dehalogenimonas lykanthroporepellens BL-DC-9	 Bacteria	 Chloroflexi	 Dehalococcoidia	 Dehalogenimonas	0	0	NS	4.434	10.552	13.644	3.215	4.076	ND	ND	ND	ND	NS	ND	ND	ND	ND
Clostridium saccharobutylicum DSM 13864	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	NS	1.941	10.525	13.593	2.627	1.888	ND	ND	ND	ND	NS	ND	ND	ND	ND
Halopiger xanaduensis SH-6	 Archaea	 Euryarchaeota	 Halobacteria	 Natrialbales	 Natrialbaceae	 Halopiger	NS	2.254	10.49	20.396	4.294	1.263	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pyrococcus yayanosii CH1	 Archaea	 Euryarchaeota	 Thermococci	 Thermococcales	 Thermococcaceae	 Pyrococcus	SR	8.24	10.351	8.968	0.589	0.379	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Thermococcus sp. 4557	 Archaea	 Euryarchaeota	 Thermococci	 Thermococcales	 Thermococcaceae	 Thermococcus	SR	8.198	10.342	9.755	0.384	0.213	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Thermococcus guaymasensis DSM 11113	 Archaea	 Euryarchaeota	 Thermococci	 Thermococcales	 Thermococcaceae	 Thermococcus	SR	6.017	10.342	9.578	0.384	-0.029	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Dehalococcoides mccartyi VS	 Bacteria	 Chloroflexi	 Dehalococcoidia	 Dehalococcoidales	 Dehalococcoidaceae	 Dehalococcoides	Sur	5.744	10.254	10.007	2.429	1.667	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Thermococcus litoralis DSM 5473	 Archaea	 Euryarchaeota	 Thermococci	 Thermococcales	 Thermococcaceae	 Thermococcus	SR	6.189	10.251	10.223	0.589	0.213	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Butyrivibrio proteoclasticus B316	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Butyrivibrio	NS	0.939	10.214	8.948	1.311	0.927	ND	ND	ND	ND	NS	ND	ND	ND	ND
Microcystis aeruginosa NIES-2549	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Microcystis	0	NS	2.971	10.188	23.823	8.167	3.331	ND	ND	ND	ND	NS	ND	ND	ND	ND
Thiocystis violascens DSM 198	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales	 Chromatiaceae	 Thiocystis	PSB	10.633	10.09	23.517	6.52	9.242	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Sediminispirochaeta smaragdinae DSM 11293	 Bacteria	 Spirochaetes	 Spirochaetales	 Spirochaetaceae	 Spirochaeta	0	NS	2.016	10.052	12.392	4.224	0.867	ND	ND	ND	ND	NS	ND	ND	ND	ND
Chloroflexus aggregans DSM 9485	 Bacteria	 Chloroflexi	 Chloroflexia	 Chloroflexales	 Chloroflexineae	 Chloroflexaceae	GSB	6.291	10.005	21.866	6.162	3.98	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Thermococcus onnurineus NA1	 Archaea	 Euryarchaeota	 Thermococci	 Thermococcales	 Thermococcaceae	 Thermococcus	SR	8.308	9.99	9.982	0.303	0.295	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Natrinema sp. J7-2	 Archaea	 Euryarchaeota	 Halobacteria	 Natrialbales	 Natrialbaceae	 Natrinema	NS	1.709	9.984	17.44	3.725	1.185	ND	ND	ND	ND	NS	ND	ND	ND	ND
Marichromatium purpuratum 984	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales	 Chromatiaceae	 Marichromatium	PSB	5.372	9.925	21.687	6.201	7.744	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Pararhodospirillum photometricum DSM 122	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae	 Pararhodospirillum	NS	-1.844	9.857	20.748	6.588	5.294	ND	ND	ND	ND	NS	ND	ND	ND	ND
Caldicellulosiruptor bescii DSM 6725	 Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacterales Family III. Incertae Sedis	 Caldicellulosiruptor	Sur	4.737	9.747	11.09	2.479	0.618	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Pelobacter carbinolicus DSM 2380	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Desulfuromonadaceae	 Pelobacter	SR	4.368	9.706	18.292	6.743	4.527	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Microcystis aeruginosa NIES-843	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Microcystis	0	NS	2.745	9.657	22.626	8.203	4.162	ND	ND	ND	ND	NS	ND	ND	ND	ND
Thermodesulfobium narugense DSM 14796	 Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermodesulfobiaceae	 Thermodesulfobium	Sur	10.012	9.595	14.692	5.601	0.978	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Natronomonas pharaonis DSM 2160	 Archaea	 Euryarchaeota	 Halobacteria	 Halobacteriales	 Halobacteriaceae	 Natronomonas	NS	2.738	9.477	18.94	4.518	2.3	ND	ND	ND	ND	NS	ND	ND	ND	ND
Natronococcus occultus SP4	 Archaea	 Euryarchaeota	 Halobacteria	 Natrialbales	 Natrialbaceae	 Natronococcus	NS	1.75	9.465	24.561	4.332	1.851	ND	ND	ND	ND	NS	ND	ND	ND	ND
Desulfobulbus propionicus DSM 2032	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfobacterales	 Desulfobulbaceae	 Desulfobulbus	SRB	9.442	9.451	17.972	5.153	5.807	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Tepidanaerobacter acetatoxydans Re1	 Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Tepidanaerobacter	NS	0.851	9.439	10.613	0.334	1.145	ND	ND	ND	ND	NS	ND	ND	ND	ND
Thermococcus cleftensis	 Archaea	 Euryarchaeota	 Thermococci	 Thermococcales	 Thermococcaceae	 Thermococcus	SR	8.282	9.426	8.756	0.456	0.213	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Thermococcus gammatolerans EJ3	 Archaea	 Euryarchaeota	 Thermococci	 Thermococcales	 Thermococcaceae	 Thermococcus	SR	5.281	9.386	8.733	0.32	0.224	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Desulfovibrio magneticus RS-1	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfovibrionales	 Desulfovibrionaceae	 Desulfovibrio	SRB	10.322	9.38	18.746	5.273	5.077	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Sulfurospirillum cavolei	 Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Campylobacteraceae	 Sulfurospirillum	SR	6.225	9.34	19.527	7.087	7.291	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Arcobacter nitrofigilis DSM 7299	 Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Campylobacteraceae	 Arcobacter	Sur	6.395	9.338	25.297	6.943	7.765	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Pyrococcus furiosus DSM 3638	 Archaea	 Euryarchaeota	 Thermococci	 Thermococcales	 Thermococcaceae	 Pyrococcus	SR	8.037	9.305	9.994	2.288	0.268	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Halorhabdus tiamatea SARL4B	 Archaea	 Euryarchaeota	 Halobacteria	 Halobacteriales	 Halobacteriaceae	 Halorhabdus	NS	2.751	9.304	15.742	4	3.582	ND	ND	ND	ND	NS	ND	ND	ND	ND
Limnohabitans sp. 63ED37-2	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Limnohabitans	NS	0.751	9.299	27.354	7.37	4.923	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lachnoclostridium phytofermentans ISDg	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	0	NS	2.405	9.251	15.963	2.108	1.231	ND	ND	ND	ND	NS	ND	ND	ND	ND
Ilumatobacter coccineus YM16-304	 Bacteria	 Actinobacteria	 Acidimicrobiia	 Acidimicrobiales	 Acidimicrobiaceae	 Ilumatobacter	NS	-0.232	9.247	24.062	4.566	3.551	ND	ND	ND	ND	NS	ND	ND	ND	ND
Cyanothece sp. ATCC 51142	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Cyanothece	0	NS	3.189	9.238	24.468	8.104	4.281	ND	ND	ND	ND	NS	ND	ND	ND	ND
Haloferax mediterranei ATCC 33500	 Archaea	 Euryarchaeota	 Halobacteria	 Haloferacales	 Haloferacaceae	 Haloferax	NS	1.773	9.178	19.258	4.393	2.983	ND	ND	ND	ND	NS	ND	ND	ND	ND
Jannaschia sp. CCS1	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Jannaschia	NS	1.231	9.175	27.585	6.969	4.576	ND	ND	ND	ND	NS	ND	ND	ND	ND
Selenomonas sputigena ATCC 35185	 Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Veillonellaceae	 Selenomonas	Sur	4.672	9.116	12.837	2.435	3.913	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Geitlerinema sp. PCC 7407	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Oscillatoriales	 Geitlerinema	0	NS	3.7	9.103	23.603	8.947	4.142	ND	ND	ND	ND	NS	ND	Our	ND	ND
Magnetospirillum magneticum AMB-1	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae	 Magnetospirillum	Sur	6.094	9.103	23.939	7.174	10.171	ND	ND	ND	ND	Sur	ND	ND	ND	Feur
Thermococcus paralvinellae	 Archaea	 Euryarchaeota	 Thermococci	 Thermococcales	 Thermococcaceae	 Thermococcus	SR	7.835	9.097	9.783	0.602	0.629	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Hippea maritima DSM 10411	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfurellales	 Desulfurellaceae	 Hippea	SRB/SR	4.984	9.091	10.722	1.954	1.672	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Halorhodospira halophila SL1	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales	 Ectothiorhodospiraceae	 Halorhodospira	PSB	4.793	9.064	18.556	5.705	7.571	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Desulfuromonas soudanensis	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Desulfuromonadaceae	 Desulfuromonas	SR	4.383	9.052	21.372	6.436	8.749	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Desulfovibrio salexigens DSM 2638	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfovibrionales	 Desulfovibrionaceae	 Desulfovibrio	SRB	10.923	9.052	16.234	5.848	3.451	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Clostridium pasteurianum DSM 525 = ATCC 6013	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	NS	3.149	8.972	18.772	4.774	1.798	ND	ND	ND	ND	NS	ND	ND	ND	ND
Halostagnicola larsenii XH-48	 Archaea	 Euryarchaeota	 Halobacteria	 Natrialbales	 Natrialbaceae	 Halostagnicola	NS	1.213	8.948	22.42	4.584	1.524	ND	ND	ND	ND	NS	ND	ND	ND	ND
Thermosynechococcus elongatus BP-1	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Thermosynechococcus	0	NS	3.075	8.947	18.527	7.784	4.511	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Halogeometricum borinquense DSM 11551	 Archaea	 Euryarchaeota	 Halobacteria	 Haloferacales	 Haloferacaceae	 Halogeometricum	NS	0.936	8.899	19.427	4.003	2.983	ND	ND	ND	ND	NS	ND	ND	ND	ND
