ID 	MSL	Sscore_2017	Sscore_2014	30	60	100	150	200	250	300	biome	feature	material	env_package	location	latitude	longitude	depth
4621754.3	103	15.236	16.127	13.401	16.488	15.236	15.515	15.557	15.707	15.605	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4539508.3	113	15.236	16.127	13.401	16.488	15.236	15.515	15.557	15.707	15.605	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	150
4454153.3	115	15.236	16.127	13.401	16.488	15.236	15.515	15.557	15.707	15.605	biofilm	biofilm	biofilm	microbial mat|biofilm	USA:Cape Cod:Sippewissett Marsh	41.575836	-70.639233	0.25
4621753.3	103	15.234	16.127	13.401	16.488	15.234	15.513	15.555	15.705	15.603	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4550960.3	89	15.234	16.127	13.401	16.488	15.234	15.513	15.555	15.705	15.603	freshwater biome	hydrographic feature	microbial mat material	microbial mat|biofilm	Little Hot Creek	37.694518	-118.816545	0
4549767.3	86	15.234	16.127	13.401	16.488	15.234	15.513	15.555	15.705	15.603	freshwater biome	hydrographic feature	microbial mat material	microbial mat|biofilm	Little Hot Creek	37.694518	-118.816545	0
4485981.3	104	15.234	16.127	13.401	16.488	15.234	15.513	15.555	15.705	15.603	Mangrove biome	intertidal zone	estuarine mud	miscellaneous	Porto Seguro	-16.588118	-39.091845	0
4485218.3	101	15.234	16.127	13.401	16.488	15.234	15.513	15.555	15.705	15.603	Mangrove biome	intertidal zone	estuarine mud	miscellaneous	Porto Seguro	-16.588118	-39.091845	0
4441620.3	229	15.217	15.584	13.267	16.117	14.811	15.082	15.067	15.217	15.115	fossil	fossil	fossil	host-associated	Pacific Ocean, Santa Cruz Basin	33.3	119.22	1674
4539507.3	103	15.21	16.121	13.381	16.464	15.21	15.492	15.532	15.682	15.58	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	150
4539513.3	109	15.181	16.101	13.352	16.422	15.181	15.461	15.502	15.652	15.55	oceanic mesopelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	300
4621752.3	104	15.177	16.07	13.401	16.429	15.177	15.457	15.499	15.649	15.547	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4449103.3	123	15.152	16.095	13.323	16.393	15.152	15.435	15.474	15.624	15.522	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	200
4453406.3	108	15.146	16.064	13.372	16.4	15.146	15.429	15.469	15.619	15.517	Temperate grasslands	prairie	soil	soil	Rothamsted	51.481481	0.222231	0
4453254.3	108	15.146	16.064	13.372	16.4	15.146	15.429	15.469	15.619	15.517	Temperate grasslands	prairie	soil	soil	Rothamsted	51.481481	0.222231	0
4493726.3	233	15.064	16.252	12.94	15.642	14.733	14.965	15.002	15.064	14.929	activated sludge	lake	water	wastewater|sludge	Jiangsu	32.05	118.72	0
4621760.3	106	15.057	15.93	13.146	16.337	15.057	15.347	15.393	15.54	15.441	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4441363.3	68	15.021	15.521	12.225	15.021	13.622	13.837	13.833	13.974	13.886	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.8234444	-102.0147778	1
4539502.3	111	14.959	15.876	13.354	16.276	14.959	15.225	15.213	15.363	15.261	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	40
4621761.3	101	14.954	15.786	13.345	16.271	14.954	15.22	15.208	15.358	15.256	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4460189.3	112	14.954	16.217	13.345	16.271	14.954	15.22	15.208	15.358	15.256	estuarine biome	estuarine bulk water	water	water	Puget Sound, WA	47.683889	122.406944	0.5
4557997.3	87	14.892	16.07	13.274	16.212	14.892	15.147	15.128	15.278	15.177	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4441603.3	228	14.859	15.574	12.576	15.702	14.443	14.731	14.751	14.859	14.76	marine habitat	marine habitat	marine habitat	water	Polynesia Archipelagos - Moorea, Cooks Bay	-17.47583	-149.8122	1.4
4478939.3	141	14.854	14.08	12.786	15.811	14.57	14.854	14.893	15.043	14.941	Tropical and subtropical moist broadleaf forest biome	agricultural soil	rhizosphere	soil	Amazonia	-11.7412664	-56.2533385	0
4539511.3	100	14.797	15.098	12.791	15.977	14.797	15.091	15.134	15.287	15.188	oceanic mesopelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	200
4441663.3	158	14.765	14.952	12.531	15.594	14.437	14.765	14.791	14.956	14.844	hydrothermal vent	hydrothermal vent	hydrothermal vent	water	Black smoker chimneys on East Pacific Rise	9.84	-104.28	2500
4441102.3	158	14.765	14.952	12.531	15.594	14.437	14.765	14.791	14.956	14.844	hydrothermal vent	hydrothermal vent	hydrothermal vent	water	Black smoker chimneys on East Pacific Rise	9.84	-104.28	2500
4441573.3	221	14.698	15.611	12.527	15.636	14.39	14.679	14.698	14.806	14.707	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	31.175	-64.324	5
4446342.3	104	14.579	15.742	12.936	15.911	14.579	14.808	14.847	15	14.902	estuarine biome	marine benthic feature	sandy sediment	sediment	Port Flinders	33.1025	128.023	0
4441585.3	241	14.577	15.104	12.495	15.475	14.182	14.504	14.454	14.577	14.468	marine habitat	marine habitat	marine habitat	water	Off Nags Head, NC	36.00389	-75.3947	2.1
4441617.3	218	14.554	15.253	12.518	15.55	14.313	14.591	14.554	14.662	14.563	marine habitat	marine habitat	marine habitat	water	Indian Ocean - East coast Zanzibar (Tanzania), offshore Paje lagoon	-6.3167	39.55	0.3
4453247.3	124	14.531	15.413	12.681	15.774	14.531	14.823	14.84	14.948	14.849	Temperate grasslands	prairie	soil	soil	Rothamsted	51.481481	0.222231	0
4441610.3	233	14.512	15.216	12.404	15.414	14.163	14.438	14.404	14.512	14.413	marine habitat	marine habitat	marine habitat	water	Indian Ocean	-7.0075	76.3314	1.8
4441143.3	231	14.457	15.19	12.355	15.348	14.108	14.384	14.349	14.457	14.358	marine habitat	marine habitat	marine habitat	water	Block Island, NY	41.091	-71.602	1
4441613.3	218	14.454	14.954	12.495	15.475	14.182	14.504	14.454	14.577	14.468	marine habitat	marine habitat	marine habitat	water	Indian Ocean - St. Anne Island, Seychelles	-4.6136	55.5086	1.8
4460178.3	107	14.452	16.07	12.611	15.272	14.452	14.725	14.752	14.835	14.69	estuarine biome	estuarine bulk water	water	water	Puget Sound, WA	48.016667	122.300556	5
4453434.3	113	14.449	15.291	12.603	15.679	14.449	14.745	14.759	14.867	14.768	Temperate grasslands	prairie	soil	soil	Rothamsted	51.481481	0.222231	0
4460182.3	107	14.445	15.38	12.576	15.702	14.445	14.733	14.753	14.861	14.762	estuarine biome	estuarine bulk water	water	water	Puget Sound, WA	47.333333	122.434722	5
4450127.3	121	14.418	15.555	12.619	15.644	14.418	14.707	14.756	14.894	14.802	Tundra biome	peat soil	peat soil	soil	Ny Ãlesund, Svalbard	80.60906667	13.48425	0
4621762.3	117	14.416	15.383	12.924	15.909	14.416	14.635	14.624	14.774	14.679	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4441570.3	224	14.409	15.152	12.529	15.49	14.168	14.443	14.409	14.517	14.418	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	31.175	-64.324	5
4441611.3	218	14.407	15.152	12.529	15.49	14.166	14.441	14.407	14.515	14.416	marine habitat	marine habitat	marine habitat	water	Indian Ocean - 500 Miles west of the Seychelles in the Indian Ocean	-4.99028	64.9767	1.5
4539510.3	109	14.39	15.354	12.527	15.636	14.39	14.679	14.698	14.806	14.707	oceanic mesopelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	200
4443684.3	219	14.387	15.117	12.837	15.37	14.095	14.353	14.387	14.539	14.444	freshwater	freshwater	freshwater	water	0	0	0	0
4479361.3	132	14.382	14.885	12.225	15.321	14.096	14.382	14.425	14.582	14.48	Subtropical and temperate rainforests or woodlands	Zoological garden	compost	built environment	Sao Paulo Zoo Park	-23	-46	0
4516290.3	115	14.37	15.11	12.808	15.689	14.37	14.637	14.625	14.775	14.673	aquatic biome	freshwater habitat	eutrophic water	water	Valencia	39.3037632	-0.3226403	0
4450126.3	120	14.359	15.498	12.619	15.585	14.359	14.649	14.698	14.836	14.744	Tundra biome	peat soil	peat soil	soil	Ny Ãlesund, Svalbard	80.60906667	13.48425	0
4453256.3	128	14.35	14.828	12.254	15.291	14.066	14.35	14.395	14.552	14.45	Temperate grasslands	prairie	soil	soil	Rothamsted	51.481481	0.222231	0
