DATABASE	ID_DB
SUPERFAMILY	SSF75169
SUPERFAMILY	SSF56300
SUPERFAMILY	SSF55816
SUPERFAMILY	SSF50998
SUPERFAMILY	SSF56655
SUPERFAMILY	SSF81483
SUPERFAMILY	SSF56918
SUPERFAMILY	SSF50346
SUPERFAMILY	SSF81490
TIGRFAM	TIGR03567
TIGRFAM	TIGR00651
TIGRFAM	TIGR04021
TIGRFAM	TIGR01780
TIGRFAM	TIGR03845
TIGRFAM	TIGR03846
TIGRFAM	TIGR03478
TIGRFAM	TIGR03477
TIGRFAM	TIGR01275
TIGRFAM	TIGR03565
TIGRFAM	TIGR03860
TIGRFAM	TIGR02055
TIGRFAM	TIGR02910
TIGRFAM	TIGR02057
TIGRFAM	TIGR00434
TIGRFAM	TIGR00455
TIGRFAM	TIGR01729
TIGRFAM	TIGR02981
TIGRFAM	TIGR02039
TIGRFAM	TIGR03479
TIGRFAM	TIGR02066
TIGRFAM	TIGR02064
TIGRFAM	TIGR02912
TIGRFAM	TIGR02061
TIGRFAM	TIGR02060
TIGRFAM	TIGR00339
TIGRFAM	TIGR01409
TIGRFAM	TIGR02034
TIGRFAM	TIGR00231
TIGRFAM	TIGR00968
TIGRFAM	TIGR03457
TIGRFAM	TIGR01931
TIGRFAM	TIGR02911
TIGRFAM	TIGR02041
TIGRFAM	TIGR02042
TIGRFAM	TIGR01463
TIGRFAM	TIGR01728
TIGRFAM	TIGR03342
TIGRFAM	TIGR03011
TIGRFAM	TIGR03010
TIGRFAM	TIGR03012
TIGRFAM	TIGR00969
TIGRFAM	TIGR02139
TIGRFAM	TIGR00971
TIGRFAM	TIGR02140
TIGRFAM	TIGR01331
TIGRFAM	TIGR01115
TIGRFAM	TIGR01157
TIGRFAM	TIGR01150
