4441092.3	 7.175
4441121.3	 0.585
4441124.3	 -0.575
4441125.3	 2.036
4441126.3	 -0.897
4441127.3	 0.35
4441128.3	 -0.787
4441129.3	 -0.779
4441130.3	 -1.602
4441131.3	 -0.867
4441132.3	 0.305
4441133.3	 5.794
4441136.3	 0.169
4441138.3	 7.173
4441143.3	 8.249
4441144.3	 7.721
4441145.3	 5.964
4441146.3	 7.431
4441148.3	 4.761
4441149.3	 8.006
4441150.3	 6.786
4441151.3	 5.994
4441152.3	 5.165
4441153.3	 6.53
4441156.3	 6.108
4441568.3	 5.994
4441574.3	 9.197
4441582.3	 7.773
4441585.3	 8.139
4441589.3	 7.358
4441590.3	 7.489
4441591.3	 7.696
4441594.3	 6.694
4441595.3	 6.61
4441596.3	 7.219
4441596.4	 7.577
4441597.3	 8.943
4441598.3	 9.272
4441599.3	 9.274
4441600.3	 7.219
4441601.3	 6.739
4441602.3	 6.819
4441603.3	 8.421
4441604.3	 6.783
4441610.3	 8.304
4441614.3	 6.162
4441616.3	 6.984
4441620.3	 8.899
4441658.3	 6.911
4441661.3	 6.482
4441662.3	 7.372
4442626.3	 8.943
4442708.3	 5.134
4442709.3	 6.53
4443681.3	 8.589
4443745.3	 0.029
4493726.3	 8.818
4493727.3	 7.651
