ID 	Public/private	SS	SS_pos 	SS_2014_pos	SS_2014_up	biome	feature	material	env_package	location	latitude	longitude	depth
4440374.3	Public	0.35	3.495	3.964	2.529	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	21.434	157.7878	0
4440375.3	Public	0.199	1.528	1.513	1.145	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	21.434	-157.7878	0
4440376.3	Public	0.285	1.354	2.168	2.201	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	21.434	-157.7878	0
4440377.3	Public	-0.532	0.47	0.516	0.49	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	21.434	-157.7878	0
4440379.3	Public	-0.247	0.234	0.326	0.652	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	21.434	-157.7878	0
4440380.3	Public	-0.236	0.059	0.136	0.079	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	21.434	-157.7878	0
4440381.3	Public	-0.317	0.325	0.509	0.525	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	21.434	-157.7878	0
4440411.3	Public	-1.759	1.877	2.664	1.091	freshwater	freshwater	freshwater	water	prebead pond at Kent SeaTech, Salton Sea, CA	33.537594	-116.097751	0
4440412.3	Public	-0.076	0.455	0.409	0.293	freshwater	freshwater	freshwater	water	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	33.537594	-116.097751	0
4440413.3	Public	0.601	4.28	5.606	4.423	freshwater	freshwater	freshwater	water	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	33.537594	-116.097751	0
4440414.3	Public	-0.068	0.232	0.241	0.05	freshwater	freshwater	freshwater	water	prebead pond at Kent SeaTech, Salton Sea, CA	33.537594	-116.097751	0
4440416.3	Public	0.737	1.372	1.712	1.79	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440417.3	Public	-0.458	0.14	0.324	0.25	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440419.3	Public	-0.357	2.465	3.445	2.802	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440420.3	Public	-0.236	3.464	4.712	3.471	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
