	95-per	max	mean	sem	std
30	7.655899999999999	7.781000000000001	4.632386752136751	0.1450107529251122	3.1370622309907903
60	9.701749999999999	9.918	4.738272727272727	0.4202241035733054	3.413916755983253
100	8.810599999999999	9.093	5.7843212121212115	0.1958056733442935	2.515169414329581
150	8.507999999999996	9.986	3.22430303030303	0.36573333634728666	3.6390007499664017
200	8.183399999999999	9.547	4.071818181818183	0.30092066960271524	2.6405681591940176
250	8.9811	9.274	5.738258620689655	0.42478789309488424	3.2350882119286126
300	7.610499999999999	8.381	2.5093333333333336	3.0040449582373285	5.203158495888179
